
PUNCH_RIGHT | Vel:0.044 | Z-Rel:-0.516 | Z-Move:0.040 | Y-Move:0.016 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.037 | Z-Rel:-0.225 | Z-Move:0.036 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.023 | Z-Rel:-0.238 | Z-Move:0.023 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.017 | Z-Rel:-0.513 | Z-Move:0.017 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.037 | Z-Rel:-0.551 | Z-Move:0.018 | Y-Move:0.030 | Z-Dom:False | Ext:True
PUNCH_LEFT | Vel:0.037 | Z-Rel:-0.083 | Z-Move:0.036 | Y-Move:0.009 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.097 | Z-Rel:-0.565 | Z-Move:0.096 | Y-Move:0.013 | Z-Dom:True | Ext:True
PUNCH_RIGHT | Vel:0.039 | Z-Rel:-0.607 | Z-Move:0.039 | Y-Move:0.002 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.053 | Z-Rel:-0.121 | Z-Move:0.053 | Y-Move:0.001 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.035 | Z-Rel:-0.136 | Z-Move:0.035 | Y-Move:0.001 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.038 | Z-Rel:-0.125 | Z-Move:0.038 | Y-Move:0.004 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.022 | Z-Rel:-0.447 | Z-Move:0.016 | Y-Move:0.005 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.021 | Z-Rel:-0.151 | Z-Move:0.021 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.015 | Z-Rel:-0.180 | Z-Move:0.015 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.073 | Z-Rel:-0.233 | Z-Move:0.073 | Y-Move:0.003 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.023 | Z-Rel:-0.249 | Z-Move:0.023 | Y-Move:0.002 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.165 | Z-Rel:-0.370 | Z-Move:0.159 | Y-Move:0.039 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.053 | Z-Rel:-0.340 | Z-Move:0.009 | Y-Move:0.050 | Z-Dom:False | Ext:True
PUNCH_RIGHT | Vel:0.054 | Z-Rel:-0.241 | Z-Move:0.054 | Y-Move:0.006 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.032 | Z-Rel:0.111 | Z-Move:0.032 | Y-Move:0.005 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.027 | Z-Rel:0.081 | Z-Move:0.027 | Y-Move:0.004 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.016 | Z-Rel:0.064 | Z-Move:0.015 | Y-Move:0.002 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.025 | Z-Rel:-0.252 | Z-Move:0.025 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.021 | Z-Rel:0.051 | Z-Move:0.021 | Y-Move:0.001 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.027 | Z-Rel:0.024 | Z-Move:0.027 | Y-Move:0.001 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.045 | Z-Rel:-0.030 | Z-Move:0.045 | Y-Move:0.001 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.065 | Z-Rel:-0.012 | Z-Move:0.065 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.047 | Z-Rel:-0.285 | Z-Move:0.047 | Y-Move:0.001 | Z-Dom:True | Ext:True
PUNCH_LEFT | Vel:0.019 | Z-Rel:0.110 | Z-Move:0.018 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.015 | Z-Rel:0.081 | Z-Move:0.014 | Y-Move:0.003 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.142 | Z-Rel:-0.039 | Z-Move:0.140 | Y-Move:0.024 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.052 | Z-Rel:-0.267 | Z-Move:0.043 | Y-Move:0.030 | Z-Dom:False | Ext:True
PUNCH_LEFT | Vel:0.372 | Z-Rel:-0.302 | Z-Move:0.364 | Y-Move:0.034 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.144 | Z-Rel:-0.333 | Z-Move:0.106 | Y-Move:0.092 | Z-Dom:False | Ext:True
PUNCH_RIGHT | Vel:0.024 | Z-Rel:0.086 | Z-Move:0.022 | Y-Move:0.008 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.020 | Z-Rel:0.066 | Z-Move:0.017 | Y-Move:0.002 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.085 | Z-Rel:0.000 | Z-Move:0.061 | Y-Move:0.059 | Z-Dom:False | Ext:False
PUNCH_LEFT | Vel:0.336 | Z-Rel:-0.336 | Z-Move:0.285 | Y-Move:0.174 | Z-Dom:True | Ext:False
PUNCH_RIGHT | Vel:0.074 | Z-Rel:0.006 | Z-Move:0.074 | Y-Move:0.000 | Z-Dom:True | Ext:False
PUNCH_LEFT | Vel:0.069 | Z-Rel:-0.393 | Z-Move:0.039 | Y-Move:0.050 | Z-Dom:False | Ext:False
PUNCH_LEFT | Vel:0.022 | Z-Rel:-0.407 | Z-Move:0.010 | Y-Move:0.011 | Z-Dom:False | Ext:False
